N,P,K,temperature,humidity,ph,rainfall,crop
82,58,105,25.4,56.5,7.3,127.7,Cotton
25,88,136,23.3,50.0,6.9,97.7,Alfalfa
34,69,113,22.2,47.1,6.9,83.8,Alfalfa
130,40,34,22.9,71.4,6.5,117.9,Maize
81,31,43,23.2,68.6,6.7,199.2,Wheat
114,38,88,27.3,67.7,7.2,137.1,Cotton
65,48,45,19.4,54.6,6.3,215.8,Wheat
98,48,34,15.4,61.5,6.9,102.6,Wheat
92,31,44,19.6,54.5,7.1,151.7,Wheat
106,38,92,34.4,50.1,6.2,144.5,Cotton
78,38,32,23.6,59.5,7.2,201.9,Wheat
116,49,114,29.1,57.2,6.7,87.4,Cotton
38,82,124,19.8,44.4,7.7,82.6,Alfalfa
108,30,48,21.0,51.3,7.2,181.6,Wheat
93,43,28,26.1,65.3,5.9,131.1,Maize
85,56,91,29.3,57.2,7.1,100.8,Cotton
89,49,31,23.6,69.6,6.2,111.6,Maize
79,39,38,24.4,67.2,6.7,161.5,Wheat
133,59,25,21.1,73.8,5.8,105.5,Maize
30,76,133,18.6,42.8,6.8,82.5,Alfalfa
31,68,109,26.2,54.1,6.7,57.0,Alfalfa
31,70,119,26.1,52.7,6.6,87.5,Alfalfa
104,42,33,28.1,76.0,6.7,157.0,Maize
85,57,26,20.6,70.4,5.7,176.2,Maize
117,52,92,28.9,58.1,7.4,92.7,Cotton
29,70,119,23.9,54.8,7.4,102.2,Alfalfa
88,53,43,28.4,66.2,6.2,120.1,Maize
95,49,118,34.1,69.5,5.8,89.4,Cotton
30,89,124,27.1,55.8,6.6,113.6,Alfalfa
24,82,112,21.1,47.7,6.7,68.5,Alfalfa
72,50,31,23.6,58.7,6.2,128.7,Wheat
127,62,116,32.7,55.1,6.3,101.9,Cotton
126,50,38,22.1,67.2,5.7,131.0,Maize
100,32,47,23.3,65.1,6.6,116.7,Wheat
111,60,97,29.2,55.7,6.1,63.4,Cotton
17,62,121,20.3,60.0,7.6,83.8,Alfalfa
71,34,40,24.3,63.0,6.5,213.3,Wheat
96,46,119,26.0,70.3,7.3,75.5,Cotton
89,62,83,30.5,66.4,6.4,85.4,Cotton
95,40,92,30.1,54.0,5.9,100.1,Cotton
87,50,31,20.0,56.2,7.0,230.1,Wheat
107,49,44,20.7,65.3,6.2,134.3,Wheat
29,75,101,20.4,62.7,6.6,82.8,Alfalfa
85,48,95,29.1,57.3,6.4,105.8,Cotton
112,69,36,26.4,66.0,5.7,164.3,Maize
104,59,44,19.7,54.0,6.7,109.1,Wheat
126,56,90,26.7,59.5,6.4,71.9,Cotton
16,81,119,25.2,48.8,6.9,83.1,Alfalfa
84,37,45,18.7,67.1,7.0,152.3,Wheat
20,73,135,23.8,56.7,7.7,74.2,Alfalfa
15,86,126,21.9,49.2,7.4,77.1,Alfalfa
17,71,129,20.1,46.3,7.5,69.6,Alfalfa
102,62,40,22.4,61.6,6.0,154.8,Maize
115,40,42,29.6,75.9,6.3,129.3,Maize
26,63,132,18.0,40.2,7.6,68.2,Alfalfa
120,52,36,28.6,78.3,6.8,95.4,Maize
34,84,111,23.9,52.6,6.5,115.3,Alfalfa
39,94,131,18.2,45.1,7.1,111.5,Alfalfa
100,32,48,19.8,59.8,6.1,220.4,Wheat
125,40,40,20.2,65.7,6.1,143.4,Maize
37,74,118,21.9,46.1,7.7,86.5,Alfalfa
97,57,83,34.7,55.5,7.2,65.2,Cotton
15,85,116,18.1,46.4,7.0,82.2,Alfalfa
139,58,37,26.5,72.4,5.9,88.6,Maize
78,54,107,29.5,51.1,6.3,88.8,Cotton
77,44,35,17.8,69.4,6.4,249.7,Wheat
24,79,114,18.7,40.7,6.8,111.7,Alfalfa
19,62,114,19.6,59.7,6.9,72.9,Alfalfa
24,87,122,27.1,43.1,7.2,111.6,Alfalfa
105,69,25,20.7,65.6,5.9,174.5,Maize
32,85,107,24.7,44.1,7.1,101.7,Alfalfa
104,38,36,22.4,65.5,6.8,170.7,Wheat
34,93,131,24.2,55.7,7.7,85.4,Alfalfa
92,49,48,16.0,69.2,7.1,140.6,Wheat
98,50,39,27.3,65.8,6.5,87.0,Maize
107,68,43,27.1,61.0,6.6,125.8,Maize
127,58,92,33.2,58.7,7.2,92.1,Cotton
95,47,107,31.5,61.4,6.5,89.2,Cotton
113,47,108,29.9,61.9,6.6,75.8,Cotton
108,35,37,20.6,59.7,6.6,126.5,Wheat
17,63,136,25.7,63.3,7.7,75.8,Alfalfa
118,49,30,21.1,78.7,5.7,105.3,Maize
33,90,138,22.6,44.3,6.8,85.6,Alfalfa
120,43,35,21.1,62.0,5.5,134.9,Maize
28,72,110,23.4,64.2,6.8,110.1,Alfalfa
83,56,38,23.4,71.2,5.6,156.5,Maize
88,66,27,27.0,63.3,6.5,176.8,Maize
127,46,28,25.3,65.7,5.6,146.9,Maize
29,85,100,26.1,61.3,7.7,68.6,Alfalfa
90,49,41,20.5,60.9,6.4,124.4,Maize
25,65,100,24.7,40.0,7.5,55.5,Alfalfa
32,73,104,19.3,43.1,6.7,52.1,Alfalfa
129,56,37,27.6,72.1,6.2,85.4,Maize
15,89,107,27.5,53.9,6.9,117.3,Alfalfa
104,40,25,21.6,79.6,5.7,128.7,Maize
109,31,38,16.3,58.6,6.3,233.2,Wheat
129,54,82,32.1,62.0,6.5,73.6,Cotton
94,40,40,22.6,60.1,6.4,177.3,Maize
99,36,80,28.2,71.7,6.2,114.7,Cotton
84,64,106,32.4,66.5,6.2,68.8,Cotton
23,94,120,20.3,41.2,6.8,95.8,Alfalfa
25,79,135,26.3,48.7,7.1,59.0,Alfalfa
23,81,126,21.3,41.1,7.1,88.1,Alfalfa
136,43,43,29.8,78.9,5.8,167.5,Maize
97,35,115,28.9,54.9,7.0,73.9,Cotton
72,40,45,24.0,63.5,6.8,114.9,Wheat
92,64,41,20.8,70.5,6.0,138.9,Maize
78,42,37,22.8,66.8,6.7,192.8,Wheat
15,73,115,18.2,48.7,7.4,55.6,Alfalfa
115,49,93,27.8,51.5,6.1,140.6,Cotton
122,56,33,20.7,73.8,6.2,120.5,Maize
102,33,33,20.0,56.7,6.1,113.4,Wheat
124,47,91,30.2,57.6,7.0,137.8,Cotton
31,91,109,24.2,51.1,6.7,95.7,Alfalfa
120,55,83,30.3,68.4,5.9,139.9,Cotton
32,60,134,19.8,50.8,7.6,109.0,Alfalfa
19,78,128,18.1,40.9,7.7,104.3,Alfalfa
73,47,30,18.4,64.2,6.7,138.4,Wheat
96,40,38,19.6,63.5,6.6,114.1,Wheat
17,60,118,28.0,61.1,7.3,52.8,Alfalfa
85,35,92,33.7,70.9,7.2,122.8,Cotton
88,34,35,18.1,50.4,6.7,204.8,Wheat
79,58,89,30.4,50.2,6.0,64.9,Cotton
87,48,42,19.0,63.6,6.5,244.2,Wheat
21,83,121,24.9,44.3,6.9,64.9,Alfalfa
66,30,34,23.7,69.1,6.5,176.0,Wheat
92,54,34,22.9,54.5,6.8,138.0,Wheat
95,35,112,26.9,55.6,6.6,146.5,Cotton
102,57,44,25.5,75.0,6.5,112.5,Maize
88,49,43,29.6,78.6,6.5,152.3,Maize
103,48,37,24.3,65.4,6.0,163.6,Maize
90,40,31,22.0,76.5,6.6,109.2,Maize
61,48,43,19.2,65.0,7.2,168.8,Wheat
97,33,49,22.0,68.9,6.5,199.3,Wheat
86,39,112,30.4,55.8,6.8,133.9,Cotton
114,44,31,27.2,70.0,6.7,172.0,Maize
126,40,101,25.9,73.8,6.9,123.6,Cotton
73,61,107,32.1,72.9,7.0,120.5,Cotton
81,38,38,16.2,60.7,6.8,162.6,Wheat
138,40,25,24.4,78.9,5.6,165.0,Maize
77,30,48,23.1,57.5,6.3,210.2,Wheat
22,78,117,25.9,47.8,7.7,108.8,Alfalfa
30,75,137,26.1,55.1,6.9,112.2,Alfalfa
107,56,95,29.5,58.0,7.1,147.4,Cotton
72,37,34,15.9,64.6,6.4,202.2,Wheat
113,43,97,34.0,68.8,6.6,114.3,Cotton
125,42,29,26.7,60.9,5.9,142.3,Maize
36,69,124,27.7,41.2,7.0,64.9,Alfalfa
96,62,28,24.8,73.7,6.5,82.0,Maize
36,72,107,25.5,58.8,7.4,96.9,Alfalfa
100,56,36,22.3,66.8,6.4,147.5,Wheat
104,58,40,27.3,76.7,6.0,156.5,Maize
114,49,87,30.3,62.9,6.8,127.4,Cotton
64,42,30,15.5,68.8,6.6,192.2,Wheat
72,63,109,32.7,68.7,6.3,87.6,Cotton
88,39,48,23.8,61.6,6.2,169.3,Wheat
85,45,33,17.6,64.2,6.1,105.0,Wheat
28,63,138,18.3,53.9,7.5,87.6,Alfalfa
23,72,113,22.4,47.0,7.3,53.9,Alfalfa
20,85,101,22.3,64.6,7.2,115.2,Alfalfa
101,56,108,34.3,51.4,6.5,123.7,Cotton
25,67,121,19.4,40.0,7.6,56.1,Alfalfa
132,60,43,26.7,61.6,6.3,96.4,Maize
110,63,43,24.6,72.0,5.7,154.2,Maize
121,40,28,21.6,73.8,5.7,122.5,Maize
101,58,43,17.6,67.6,7.1,129.5,Wheat
30,67,112,21.9,57.8,7.4,93.7,Alfalfa
91,57,92,32.2,62.6,7.0,82.4,Cotton
74,60,114,25.3,58.5,7.2,140.8,Cotton
69,31,35,15.3,67.6,6.0,241.7,Wheat
102,58,38,29.2,60.5,6.3,134.9,Maize
102,38,82,34.3,55.1,6.0,137.0,Cotton
103,52,30,15.4,52.5,7.2,147.3,Wheat
74,39,110,32.2,71.4,6.2,61.9,Cotton
98,46,48,16.0,58.6,6.3,177.4,Wheat
71,35,118,34.1,64.2,6.4,94.3,Cotton
21,94,129,27.3,44.6,7.1,77.5,Alfalfa
101,54,110,27.1,71.9,6.1,101.0,Cotton
81,59,46,19.7,58.2,6.3,209.5,Wheat
16,72,115,18.3,62.8,6.7,95.2,Alfalfa
29,78,136,22.2,50.3,6.8,59.5,Alfalfa
37,90,115,18.1,54.4,7.0,76.2,Alfalfa
79,52,97,34.8,57.4,6.8,129.9,Cotton
23,62,116,23.4,53.6,7.3,77.1,Alfalfa
126,54,85,25.5,61.4,6.7,139.9,Cotton
27,94,115,21.8,63.6,7.1,90.0,Alfalfa
100,56,32,19.4,59.8,7.0,205.9,Wheat
71,44,49,19.1,56.5,6.9,213.8,Wheat
26,60,128,19.3,59.9,7.0,84.5,Alfalfa
38,70,102,22.3,57.0,7.3,103.8,Alfalfa
102,52,35,26.4,62.2,6.1,177.2,Maize
99,62,43,23.1,72.7,5.6,142.9,Maize
102,54,93,32.3,58.1,7.5,63.4,Cotton
78,42,35,23.9,51.0,6.7,197.2,Wheat
108,46,46,24.0,69.4,7.2,218.5,Wheat
16,78,106,18.8,57.3,7.5,107.9,Alfalfa
71,62,86,26.5,51.0,7.3,88.3,Cotton
108,38,108,26.3,50.7,7.0,114.4,Cotton
19,86,129,24.4,44.0,7.7,86.1,Alfalfa
108,54,38,22.6,64.6,6.9,130.1,Wheat
94,56,37,18.1,59.7,6.4,225.8,Wheat
67,58,38,21.9,68.3,6.7,184.0,Wheat
113,42,40,22.6,65.8,6.4,153.5,Maize
121,50,41,29.2,71.4,6.0,155.7,Maize
61,53,31,23.4,59.0,6.8,133.2,Wheat
134,47,26,28.0,65.4,6.4,100.6,Maize
17,91,119,23.9,51.4,7.5,64.9,Alfalfa
77,41,85,25.6,65.3,6.4,131.5,Cotton
80,43,32,17.7,67.1,6.4,246.0,Wheat
60,55,47,23.9,52.0,6.9,220.9,Wheat
17,60,107,25.1,51.0,6.6,99.4,Alfalfa
26,72,127,22.0,48.4,6.8,83.6,Alfalfa
108,57,83,27.6,73.7,6.1,146.9,Cotton
61,56,36,18.3,59.0,6.7,165.3,Wheat
112,65,26,26.9,76.7,5.8,141.0,Maize
24,74,128,27.5,49.0,7.5,101.7,Alfalfa
75,33,45,20.3,58.3,7.0,134.5,Wheat
101,52,40,22.3,71.2,5.7,112.0,Maize
34,69,100,20.5,60.2,7.5,77.0,Alfalfa
18,87,106,27.6,50.7,6.8,93.9,Alfalfa
93,65,40,27.9,60.4,6.1,113.1,Maize
118,48,43,21.7,70.6,5.9,142.9,Maize
21,63,124,21.4,42.7,6.8,108.7,Alfalfa
120,36,88,30.7,64.0,6.6,131.2,Cotton
84,66,28,26.2,73.8,6.0,167.5,Maize
101,58,48,15.4,61.0,6.9,117.2,Wheat
38,84,103,19.0,63.6,7.5,62.7,Alfalfa
113,43,30,24.0,75.7,6.8,92.7,Maize
31,76,129,21.6,41.3,7.4,80.5,Alfalfa
15,63,127,26.0,52.2,6.9,94.7,Alfalfa
80,47,25,27.3,60.8,5.6,80.7,Maize
102,48,39,17.9,53.0,6.3,240.4,Wheat
139,49,30,23.9,66.7,5.8,117.8,Maize
77,58,92,27.9,64.4,5.9,77.2,Cotton
15,77,136,21.8,56.6,6.8,58.9,Alfalfa
39,93,138,19.6,44.4,7.5,51.1,Alfalfa
81,51,99,26.1,67.2,7.5,125.4,Cotton
93,36,42,24.0,57.0,6.7,153.9,Wheat
29,81,105,18.0,47.8,7.2,72.7,Alfalfa
101,55,84,26.0,51.2,5.8,89.5,Cotton
93,36,92,29.5,67.1,6.4,120.1,Cotton
17,82,127,27.8,40.3,7.3,78.9,Alfalfa
127,47,41,29.8,72.3,6.5,88.6,Maize
26,90,118,18.1,56.4,7.0,92.8,Alfalfa
34,73,110,18.7,54.7,7.2,102.0,Alfalfa
38,90,116,22.0,40.7,6.9,118.3,Alfalfa
88,41,85,30.9,71.2,6.6,61.6,Cotton
71,50,39,19.4,65.7,6.1,178.1,Wheat
81,60,114,34.6,67.5,6.2,61.8,Cotton
88,69,39,21.2,71.7,6.5,179.3,Maize
100,53,82,31.2,74.6,6.9,137.4,Cotton
37,62,124,25.5,61.4,7.1,59.2,Alfalfa
103,47,33,24.4,61.3,6.6,92.6,Maize
90,38,119,29.6,68.6,6.9,132.3,Cotton
101,47,33,24.4,59.7,6.6,217.8,Wheat
30,86,115,22.7,64.2,7.5,106.8,Alfalfa
77,41,113,31.5,70.8,5.9,136.7,Cotton
86,46,85,28.5,72.3,6.6,107.5,Cotton
83,54,45,17.3,59.1,6.6,214.5,Wheat
120,67,41,26.2,62.3,5.7,123.7,Maize
136,54,42,25.8,67.8,5.7,102.7,Maize
21,67,117,21.2,54.7,6.6,108.1,Alfalfa
36,87,112,24.0,42.3,7.3,56.3,Alfalfa
33,68,135,23.9,51.2,7.6,117.0,Alfalfa
101,52,42,23.5,57.1,7.0,227.6,Wheat
77,52,41,18.8,59.0,7.2,152.5,Wheat
34,67,115,25.5,49.5,7.1,94.1,Alfalfa
126,45,28,22.7,74.0,5.5,167.2,Maize
70,50,37,17.7,59.9,6.5,128.8,Wheat
96,54,94,27.7,55.2,6.9,97.5,Cotton
103,43,30,20.7,67.2,6.1,217.8,Wheat
29,83,112,27.4,43.5,7.3,76.7,Alfalfa
75,37,42,24.0,55.4,7.0,249.3,Wheat
132,46,39,22.9,60.3,5.8,108.2,Maize
89,47,119,32.2,66.9,6.7,130.4,Cotton
29,88,121,22.9,42.8,7.0,72.2,Alfalfa
26,66,107,23.1,45.8,6.7,106.7,Alfalfa
86,42,108,33.7,57.2,6.4,98.4,Cotton
66,30,38,23.7,61.1,6.7,239.0,Wheat
108,66,30,20.0,71.9,6.7,108.8,Maize
109,40,36,21.9,56.4,6.3,243.4,Wheat
114,59,39,28.5,69.0,6.1,95.7,Maize
86,65,34,20.2,68.9,6.5,148.0,Maize
94,41,94,25.2,63.9,7.1,108.7,Cotton
28,63,119,25.3,56.5,7.6,58.9,Alfalfa
112,42,86,28.4,70.4,7.2,136.1,Cotton
103,45,44,24.6,57.1,6.1,125.1,Wheat
123,55,39,23.6,65.8,5.8,146.4,Maize
78,55,86,25.8,62.2,6.3,78.2,Cotton
85,43,109,27.9,56.7,7.3,66.3,Cotton
35,77,104,20.9,45.4,6.7,71.9,Alfalfa
100,51,96,29.7,71.8,7.1,106.2,Cotton
17,78,127,18.1,50.1,7.7,101.8,Alfalfa
25,60,108,21.7,50.1,6.5,84.8,Alfalfa
102,69,34,28.8,69.8,6.3,88.0,Maize
126,44,99,28.7,58.2,6.5,111.4,Cotton
28,67,137,27.6,42.4,6.5,61.3,Alfalfa
102,57,32,23.5,50.4,6.7,141.6,Wheat
95,41,87,31.9,66.9,6.2,63.1,Cotton
114,48,114,33.1,70.0,6.6,114.6,Cotton
38,72,131,20.8,46.6,7.2,81.4,Alfalfa
107,36,30,22.2,54.3,6.2,161.9,Wheat
113,48,113,28.7,61.2,6.7,78.3,Cotton
79,47,81,29.3,60.3,5.9,104.8,Cotton
83,44,82,32.1,54.4,6.2,133.0,Cotton
95,44,83,30.5,50.9,6.1,105.0,Cotton
31,87,118,19.4,40.2,7.6,62.3,Alfalfa
31,87,118,21.2,42.2,6.8,63.2,Alfalfa
111,42,112,27.6,50.3,6.7,114.5,Cotton
21,67,119,22.2,51.5,7.0,93.9,Alfalfa
136,40,36,25.0,74.9,6.2,86.8,Maize
106,36,113,31.6,60.7,7.3,136.1,Cotton
103,58,34,24.0,66.5,6.8,205.1,Wheat
102,64,91,33.3,65.6,6.9,79.2,Cotton
139,50,37,21.5,76.1,6.2,177.7,Maize
66,43,31,15.8,51.8,6.7,189.9,Wheat
28,74,101,25.3,40.8,7.3,103.2,Alfalfa
62,54,44,22.1,65.0,6.2,216.6,Wheat
96,56,89,27.1,59.6,7.1,97.6,Cotton
29,89,120,26.1,46.3,6.8,91.3,Alfalfa
60,34,42,17.6,60.8,7.1,227.0,Wheat
36,81,111,23.4,57.6,6.9,57.8,Alfalfa
119,53,36,23.5,76.2,5.9,96.4,Maize
78,44,37,15.2,52.3,6.2,117.0,Wheat
84,55,41,25.1,72.6,6.0,112.3,Maize
71,54,97,26.3,61.9,7.1,83.2,Cotton
108,52,87,33.4,60.4,7.1,63.6,Cotton
85,47,86,29.0,71.1,6.4,118.9,Cotton
89,55,115,28.1,61.5,6.2,116.5,Cotton
127,63,32,27.0,62.7,6.0,118.5,Maize
65,53,30,20.8,51.2,6.8,101.2,Wheat
124,46,37,25.8,78.4,5.6,137.3,Maize
115,69,26,20.2,74.6,6.7,145.7,Maize
91,50,39,24.2,59.4,6.0,203.5,Wheat
83,48,87,27.1,51.6,6.8,116.0,Cotton
22,70,113,26.3,45.0,7.1,98.4,Alfalfa
114,52,36,26.7,60.1,6.7,91.3,Maize
29,90,130,20.1,54.6,7.1,52.4,Alfalfa
94,55,36,26.9,74.5,6.4,111.1,Maize
73,64,113,26.7,71.2,6.3,113.9,Cotton
23,67,113,27.4,53.2,6.9,61.1,Alfalfa
138,43,44,23.6,70.6,6.6,148.7,Maize
110,40,105,29.3,54.9,5.8,132.5,Cotton
109,64,110,26.4,74.4,6.8,126.1,Cotton
117,59,110,33.4,66.3,6.7,124.9,Cotton
102,53,30,28.5,67.1,5.6,122.1,Maize
16,65,137,24.1,56.1,6.6,112.5,Alfalfa
102,36,94,34.6,52.9,6.3,132.9,Cotton
81,34,42,17.5,61.5,6.3,223.6,Wheat
103,41,117,28.4,58.1,6.9,136.6,Cotton
121,62,39,25.2,69.0,5.5,135.7,Maize
108,50,38,22.4,61.4,6.1,117.5,Wheat
74,30,49,16.7,63.9,6.8,203.1,Wheat
97,47,88,31.5,65.9,6.7,61.0,Cotton
100,48,111,33.2,64.7,6.2,78.3,Cotton
63,52,45,16.0,69.0,6.9,156.1,Wheat
127,39,94,27.5,67.2,7.2,110.3,Cotton
118,59,99,26.6,53.0,7.1,143.5,Cotton
78,30,30,17.5,51.5,6.1,221.9,Wheat
114,62,34,22.7,77.4,6.1,110.6,Maize
106,64,26,25.6,62.3,6.8,122.6,Maize
131,65,43,28.3,69.1,6.4,90.7,Maize
81,42,41,17.1,52.9,6.4,246.4,Wheat
127,51,33,20.3,67.9,6.2,175.3,Maize
87,49,40,25.5,60.8,5.9,137.6,Maize
77,35,43,17.0,68.4,7.0,216.2,Wheat
85,50,119,29.6,56.3,6.7,62.7,Cotton
93,46,34,16.1,63.2,7.0,207.8,Wheat
92,49,112,27.0,58.4,6.6,89.8,Cotton
106,55,42,16.4,58.0,7.2,133.9,Wheat
83,57,47,16.0,62.0,7.0,118.0,Wheat
129,59,102,30.2,69.3,6.7,74.2,Cotton
24,82,105,21.5,63.3,7.5,80.3,Alfalfa
104,57,47,20.3,60.8,6.6,148.9,Wheat
93,64,98,31.4,63.8,6.2,95.8,Cotton
128,46,37,29.6,77.9,6.4,138.5,Maize
135,62,44,22.5,70.7,6.4,147.9,Maize
125,67,25,28.0,69.5,6.5,116.0,Maize
129,44,84,25.3,54.3,6.9,97.8,Cotton
120,44,26,25.4,70.9,6.1,93.5,Maize
63,42,41,16.3,68.7,6.7,198.9,Wheat
93,38,35,21.4,65.4,6.4,244.0,Wheat
101,46,40,18.5,52.6,6.3,165.8,Wheat
97,64,96,27.7,55.0,6.2,131.8,Cotton
82,50,82,29.3,60.2,6.0,120.9,Cotton
88,69,43,22.3,66.2,6.8,163.2,Maize
105,54,89,33.1,70.9,6.0,126.5,Cotton
117,37,112,29.1,71.9,6.0,138.8,Cotton
82,56,38,25.0,73.7,6.5,138.3,Maize
69,38,30,15.6,58.0,6.0,149.4,Wheat
104,53,85,33.5,53.2,6.0,113.0,Cotton
72,53,33,24.0,68.5,6.5,233.5,Wheat
96,43,104,29.8,53.1,7.4,100.9,Cotton
103,50,32,20.2,62.0,6.1,149.0,Maize
119,47,101,32.0,67.6,6.6,142.3,Cotton
115,39,100,30.3,70.8,6.5,124.5,Cotton
29,89,125,20.4,44.2,7.5,59.1,Alfalfa
29,62,109,24.3,60.3,6.6,70.8,Alfalfa
64,55,43,17.2,63.5,6.9,133.7,Wheat
116,63,33,29.8,72.9,5.9,179.7,Maize
98,38,117,33.3,70.4,7.4,135.7,Cotton
73,33,41,19.7,62.5,7.0,245.4,Wheat
32,92,120,22.4,56.7,7.3,51.2,Alfalfa
30,71,135,18.3,59.8,6.8,73.8,Alfalfa
106,64,111,32.7,62.3,7.3,95.8,Cotton
106,40,111,32.1,59.2,6.7,69.0,Cotton
86,42,106,27.5,65.4,6.6,149.0,Cotton
36,76,115,25.6,45.2,6.9,106.7,Alfalfa
29,92,126,25.2,49.7,6.8,94.3,Alfalfa
65,31,35,19.6,63.5,6.6,226.5,Wheat
72,60,106,32.5,71.6,6.9,137.1,Cotton
80,60,119,33.8,55.0,5.9,130.9,Cotton
128,46,101,33.5,67.2,6.7,134.7,Cotton
100,63,43,28.0,76.2,5.8,141.5,Maize
117,41,119,33.6,52.0,7.1,104.4,Cotton
112,53,106,33.8,57.4,5.8,87.1,Cotton
21,60,106,23.3,61.9,7.7,68.6,Alfalfa
129,46,29,27.2,61.9,6.3,108.6,Maize
106,61,41,21.3,70.5,6.0,98.0,Maize
31,90,109,18.1,42.4,6.9,53.8,Alfalfa
20,71,124,25.0,41.3,6.6,71.4,Alfalfa
98,47,82,32.7,53.5,7.2,60.7,Cotton
76,36,111,29.0,73.7,7.1,85.7,Cotton
117,60,99,33.3,70.6,6.1,123.1,Cotton
36,76,121,25.3,45.7,6.5,100.1,Alfalfa
85,41,38,20.7,79.4,5.5,140.1,Maize
95,52,93,28.2,61.2,6.9,73.2,Cotton
38,69,124,26.3,47.6,7.8,55.3,Alfalfa
100,43,25,24.5,69.2,5.8,151.6,Maize
63,34,42,18.6,59.3,6.8,232.6,Wheat
20,75,104,27.8,62.0,6.9,57.4,Alfalfa
17,83,127,24.1,60.1,7.7,93.7,Alfalfa
105,36,49,16.0,57.3,6.6,106.5,Wheat
104,35,34,20.8,54.2,6.1,169.7,Wheat
106,61,97,34.5,74.5,6.7,145.5,Cotton
21,73,100,20.9,44.0,7.2,87.3,Alfalfa
32,76,116,20.2,46.1,7.3,69.3,Alfalfa
131,49,37,26.1,78.8,6.4,87.5,Maize
82,46,107,26.7,58.9,7.0,146.8,Cotton
114,63,114,27.3,50.5,6.8,120.4,Cotton
98,45,32,15.7,54.2,6.3,218.0,Wheat
97,67,29,21.5,60.7,6.1,175.4,Maize
15,62,126,25.3,55.9,7.3,107.9,Alfalfa
99,69,34,27.0,71.7,6.6,87.2,Maize
26,80,129,21.8,48.5,7.3,112.4,Alfalfa
70,61,94,29.0,52.6,5.9,64.6,Cotton
123,56,97,26.6,56.3,6.1,145.8,Cotton
75,37,100,26.5,60.5,5.9,106.0,Cotton
91,58,119,31.6,61.1,6.2,125.4,Cotton
124,62,38,29.1,61.3,5.6,98.7,Maize
78,38,118,32.9,55.7,6.6,92.2,Cotton
32,63,138,25.4,57.5,6.8,113.2,Alfalfa
15,93,116,25.1,47.3,6.7,114.5,Alfalfa
90,64,92,28.9,64.1,7.2,98.4,Cotton
63,42,37,16.6,63.9,6.1,199.7,Wheat
24,62,104,27.4,40.5,7.1,51.5,Alfalfa
93,51,119,28.2,53.3,6.4,120.5,Cotton
104,51,108,30.9,55.0,6.3,74.6,Cotton
127,49,39,25.2,71.3,6.7,99.6,Maize
82,41,30,25.6,65.1,5.8,83.9,Maize
128,53,34,20.5,64.4,6.4,158.3,Maize
20,78,112,24.5,50.6,7.1,59.9,Alfalfa
99,61,86,29.8,58.1,7.0,66.7,Cotton
99,67,37,29.6,69.2,6.0,105.6,Maize
85,53,46,16.1,63.2,6.4,215.1,Wheat
82,58,32,25.2,62.3,6.0,100.7,Maize
35,70,126,21.5,44.3,6.5,81.6,Alfalfa
103,68,38,21.9,77.2,5.8,102.6,Maize
109,34,35,17.2,55.4,6.2,207.8,Wheat
124,68,34,27.1,74.7,5.7,176.6,Maize
109,59,105,26.9,53.1,6.0,127.3,Cotton
106,40,98,31.0,67.2,5.8,88.1,Cotton
87,45,28,24.6,70.4,6.6,145.9,Maize
123,48,92,34.3,71.0,6.9,90.7,Cotton
123,42,28,29.9,65.0,5.6,87.0,Maize
