crop,soil_type,ndvi,moisture,nitrogen_applied,phosphorus_applied,potassium_applied,area_ha,yield_tons_ha
Maize,Silt Loam,0.64,44.3,199,53,71,9.9,9.21
Maize,Sandy Loam,0.82,17.6,197,74,93,6.4,8.44
Cotton,Sandy Loam,0.78,20.3,125,61,103,20.7,4.96
Wheat,Clay Loam,0.78,34.9,138,44,52,7.7,8.95
Alfalfa,Silt Loam,0.8,34.8,46,79,135,23.7,6.05
Cotton,Clay Loam,0.37,38.6,99,40,92,18.6,4.87
Maize,Clay Loam,0.68,21.3,187,83,78,22.8,8.2
Wheat,Sandy Loam,0.6,18.4,113,47,69,24.7,7.41
Cotton,Sandy Loam,0.84,35.2,121,45,93,3.0,5.8
Maize,Silt Loam,0.77,28.0,171,75,67,11.6,9.2
Wheat,Clay Loam,0.46,16.3,159,40,78,13.6,7.23
Maize,Silt Loam,0.42,21.5,165,73,73,9.9,6.73
Alfalfa,Clay Loam,0.72,44.5,49,68,116,11.8,5.7
Cotton,Sandy Loam,0.6,20.7,137,57,86,3.3,4.56
Wheat,Clay Loam,0.83,33.5,135,64,80,2.7,8.91
Wheat,Silt Loam,0.64,47.9,123,44,85,19.9,8.84
Cotton,Sandy Loam,0.63,26.8,114,49,114,8.6,4.99
Cotton,Silt Loam,0.51,50.5,98,40,97,2.6,5.13
Wheat,Clay Loam,0.44,25.1,147,42,65,22.2,7.2
Maize,Sandy Loam,0.62,24.5,179,62,105,17.6,8.11
Wheat,Silt Loam,0.44,20.6,127,64,52,8.5,7.45
Maize,Sandy Loam,0.84,51.7,121,83,89,18.5,9.45
Wheat,Clay Loam,0.57,45.7,101,66,71,8.1,7.9
Alfalfa,Sandy Loam,0.78,33.7,25,91,106,21.2,6.35
Maize,Clay Loam,0.79,50.7,196,81,81,16.8,9.73
Alfalfa,Clay Loam,0.55,53.6,29,91,112,15.1,6.43
Alfalfa,Clay Loam,0.71,44.8,36,62,93,22.8,5.76
Cotton,Silt Loam,0.46,33.9,111,49,109,3.4,5.0
Wheat,Silt Loam,0.52,30.7,145,40,81,24.8,7.97
Maize,Clay Loam,0.37,47.8,177,55,84,4.4,7.78
Alfalfa,Sandy Loam,0.68,41.1,35,64,113,5.8,5.37
Alfalfa,Clay Loam,0.76,53.9,37,87,128,10.9,6.52
Maize,Silt Loam,0.8,16.4,127,64,78,21.9,8.1
Cotton,Sandy Loam,0.73,36.0,90,47,80,16.4,5.16
Wheat,Silt Loam,0.36,22.0,149,51,77,24.7,6.83
Maize,Sandy Loam,0.49,17.1,189,80,82,17.8,7.26
Cotton,Sandy Loam,0.51,23.7,137,41,90,4.0,4.63
Alfalfa,Sandy Loam,0.56,51.1,31,69,135,10.3,5.73
Wheat,Clay Loam,0.84,26.6,117,68,55,5.3,8.81
Maize,Silt Loam,0.65,42.6,146,68,104,11.0,8.72
Alfalfa,Silt Loam,0.43,36.1,48,74,119,15.7,4.93
Wheat,Clay Loam,0.51,33.9,126,58,57,20.4,7.86
Alfalfa,Sandy Loam,0.46,28.5,44,79,134,25.0,4.68
Cotton,Clay Loam,0.69,24.4,93,47,99,10.7,4.96
Wheat,Sandy Loam,0.71,23.3,122,58,73,5.7,8.22
Alfalfa,Silt Loam,0.69,27.2,20,73,124,5.4,5.64
Wheat,Sandy Loam,0.45,50.8,107,45,75,24.2,7.85
Cotton,Silt Loam,0.79,54.0,107,44,97,14.8,6.55
Cotton,Silt Loam,0.57,27.1,112,49,104,3.5,5.61
Cotton,Silt Loam,0.36,47.9,134,61,105,16.6,5.34
Cotton,Clay Loam,0.5,25.7,102,48,107,7.0,5.0
Cotton,Sandy Loam,0.47,22.2,101,61,85,12.6,4.06
Cotton,Clay Loam,0.69,25.7,99,54,88,4.8,5.31
Wheat,Clay Loam,0.62,20.9,110,68,56,10.0,7.74
Maize,Silt Loam,0.41,37.4,159,84,105,6.1,7.83
Wheat,Sandy Loam,0.6,32.1,122,43,87,9.5,8.03
Maize,Clay Loam,0.75,49.4,143,71,72,10.3,9.2
Alfalfa,Clay Loam,0.52,48.1,47,90,115,8.7,5.85
Cotton,Sandy Loam,0.79,53.5,122,44,116,21.7,5.9
Cotton,Silt Loam,0.69,42.6,117,61,100,3.1,6.14
Maize,Clay Loam,0.47,17.1,159,58,78,24.9,7.61
Cotton,Silt Loam,0.65,22.5,119,60,119,20.0,4.9
Wheat,Sandy Loam,0.76,28.9,150,52,87,15.0,8.53
Wheat,Silt Loam,0.79,37.1,146,51,84,16.2,8.96
Wheat,Silt Loam,0.58,22.2,148,65,83,16.9,8.0
Maize,Sandy Loam,0.45,47.5,151,66,63,21.4,8.34
Maize,Clay Loam,0.8,35.1,170,79,109,17.1,9.25
Alfalfa,Silt Loam,0.57,46.9,49,78,138,21.8,5.68
Cotton,Sandy Loam,0.68,27.9,139,58,115,2.9,5.29
Cotton,Clay Loam,0.84,29.9,132,43,100,20.0,5.9
Maize,Clay Loam,0.44,40.5,124,71,63,19.2,6.98
Wheat,Sandy Loam,0.36,39.8,117,56,56,11.3,6.95
Maize,Clay Loam,0.36,37.5,121,71,91,4.8,6.87
Cotton,Sandy Loam,0.64,29.0,96,56,109,21.4,5.33
Cotton,Clay Loam,0.54,15.7,122,50,113,11.0,4.42
Wheat,Clay Loam,0.52,30.1,125,44,79,23.7,7.66
Alfalfa,Clay Loam,0.73,51.6,37,85,114,7.5,6.13
Cotton,Sandy Loam,0.72,37.1,132,48,89,7.6,5.51
Alfalfa,Sandy Loam,0.48,27.4,20,88,110,16.2,5.24
Alfalfa,Sandy Loam,0.54,43.0,39,99,100,2.2,5.77
Alfalfa,Silt Loam,0.61,29.6,36,97,114,8.1,5.96
Maize,Sandy Loam,0.74,37.6,120,76,95,11.3,8.03
Cotton,Clay Loam,0.72,53.0,107,61,110,13.5,6.15
Wheat,Silt Loam,0.62,48.8,104,54,58,11.4,8.29
Wheat,Clay Loam,0.5,41.4,138,67,71,18.0,7.84
Alfalfa,Sandy Loam,0.43,42.7,32,74,95,4.1,4.93
Cotton,Silt Loam,0.55,48.9,104,43,84,5.6,5.71
Cotton,Sandy Loam,0.69,16.7,94,51,93,21.3,5.12
Alfalfa,Silt Loam,0.79,38.3,35,87,96,14.1,5.82
Cotton,Sandy Loam,0.76,22.2,136,45,105,3.9,5.51
Cotton,Silt Loam,0.71,27.0,115,55,106,2.0,5.42
Cotton,Silt Loam,0.39,39.7,113,64,96,23.9,4.99
Maize,Clay Loam,0.68,41.9,158,65,77,6.1,9.38
Wheat,Sandy Loam,0.38,51.2,110,57,50,14.5,7.47
Cotton,Sandy Loam,0.41,50.2,107,54,110,12.1,5.91
Alfalfa,Silt Loam,0.64,24.6,32,83,110,12.3,5.27
Wheat,Silt Loam,0.49,31.3,153,51,65,24.1,7.52
Alfalfa,Sandy Loam,0.73,40.2,41,69,106,9.3,5.98
Alfalfa,Sandy Loam,0.36,53.9,34,98,133,12.9,5.57
Wheat,Sandy Loam,0.84,29.7,141,64,72,14.1,8.83
Wheat,Sandy Loam,0.4,21.4,156,49,86,10.8,7.19
Maize,Clay Loam,0.35,35.4,196,60,91,6.4,7.44
Maize,Silt Loam,0.58,21.2,162,71,62,19.0,7.83
Wheat,Sandy Loam,0.5,44.0,145,66,71,5.8,7.91
Cotton,Silt Loam,0.35,23.9,123,53,115,15.9,4.8
Alfalfa,Clay Loam,0.67,53.1,46,87,105,24.6,6.24
Alfalfa,Silt Loam,0.84,43.2,20,82,95,8.7,6.49
Cotton,Sandy Loam,0.63,39.1,100,49,118,25.0,5.67
Cotton,Sandy Loam,0.58,31.6,124,45,95,15.3,4.98
Maize,Silt Loam,0.83,38.2,186,61,99,20.7,9.22
Maize,Sandy Loam,0.42,40.9,155,68,103,21.9,7.94
Alfalfa,Sandy Loam,0.4,30.8,20,60,107,13.8,4.37
Cotton,Silt Loam,0.78,43.6,117,60,101,22.8,5.76
Wheat,Sandy Loam,0.82,29.3,115,56,80,5.2,7.65
Alfalfa,Clay Loam,0.6,39.2,26,69,93,16.2,5.78
Alfalfa,Silt Loam,0.73,48.4,43,83,121,16.2,5.59
Maize,Silt Loam,0.55,46.7,195,66,77,12.8,8.23
Maize,Sandy Loam,0.52,16.2,152,53,102,11.1,7.86
Cotton,Silt Loam,0.79,25.8,100,50,99,7.6,5.31
Wheat,Sandy Loam,0.64,20.0,134,47,76,7.4,8.38
Maize,Sandy Loam,0.69,34.3,184,63,84,17.3,9.17
Wheat,Sandy Loam,0.81,53.9,139,53,78,15.9,9.5
Alfalfa,Silt Loam,0.6,51.6,37,78,128,24.0,5.79
Cotton,Silt Loam,0.51,30.0,120,44,117,16.3,4.71
Maize,Clay Loam,0.75,35.2,148,78,104,10.7,9.15
Wheat,Clay Loam,0.74,23.0,149,41,72,20.2,8.49
Alfalfa,Clay Loam,0.74,51.4,30,71,102,7.0,6.12
Maize,Sandy Loam,0.66,22.7,198,72,99,12.9,8.32
Wheat,Sandy Loam,0.8,35.8,131,45,89,13.6,8.77
Maize,Silt Loam,0.73,27.9,120,68,93,20.1,8.47
Alfalfa,Silt Loam,0.67,44.0,34,78,131,14.6,6.08
Wheat,Silt Loam,0.53,43.1,117,67,55,6.1,7.95
Alfalfa,Clay Loam,0.66,50.1,23,83,99,24.0,6.18
Alfalfa,Sandy Loam,0.49,18.1,41,76,100,9.1,4.58
Wheat,Clay Loam,0.68,34.6,159,67,82,14.3,8.45
Maize,Silt Loam,0.61,48.3,131,58,100,19.4,8.08
Wheat,Silt Loam,0.52,17.5,113,56,65,14.0,6.92
Maize,Sandy Loam,0.61,18.2,199,59,74,15.5,7.85
Cotton,Sandy Loam,0.65,16.2,127,43,88,15.2,4.55
Alfalfa,Clay Loam,0.78,51.3,24,69,117,21.6,6.37
Alfalfa,Sandy Loam,0.39,45.8,27,76,119,5.3,5.17
Maize,Clay Loam,0.77,31.9,136,80,69,22.5,8.66
Maize,Silt Loam,0.54,50.2,137,73,108,24.6,8.77
Alfalfa,Silt Loam,0.63,17.8,31,74,132,8.2,5.15
Maize,Silt Loam,0.82,47.4,134,65,92,5.6,9.32
Alfalfa,Silt Loam,0.72,38.6,24,61,112,14.4,5.33
Maize,Sandy Loam,0.48,24.2,195,81,101,16.1,7.12
Cotton,Silt Loam,0.64,39.3,117,52,108,16.2,5.91
Wheat,Silt Loam,0.57,29.2,121,52,84,17.7,7.99
Alfalfa,Sandy Loam,0.59,33.0,35,70,124,9.6,5.41
Cotton,Silt Loam,0.43,44.4,99,57,87,18.7,4.89
Cotton,Silt Loam,0.52,21.6,111,62,113,8.5,4.66
Cotton,Clay Loam,0.47,25.4,116,44,86,22.1,4.56
Alfalfa,Sandy Loam,0.44,19.8,33,80,136,22.0,4.85
Maize,Silt Loam,0.79,43.6,134,66,93,14.1,8.95
Maize,Silt Loam,0.81,39.3,154,59,61,19.6,9.28
Cotton,Sandy Loam,0.66,38.6,92,45,111,24.3,6.49
Cotton,Silt Loam,0.76,34.8,100,53,95,10.0,5.84
Maize,Sandy Loam,0.46,40.0,137,75,97,20.7,7.75
Wheat,Clay Loam,0.39,33.9,120,56,77,14.6,7.22
Cotton,Sandy Loam,0.68,43.1,132,57,85,5.1,5.55
Alfalfa,Silt Loam,0.61,47.8,30,73,92,8.9,6.07
Wheat,Clay Loam,0.84,35.5,114,55,87,16.5,8.89
Cotton,Silt Loam,0.49,26.9,95,61,112,12.8,4.79
Cotton,Sandy Loam,0.78,47.1,99,47,86,17.2,5.46
Alfalfa,Clay Loam,0.59,48.3,27,65,100,4.4,5.51
Wheat,Sandy Loam,0.67,30.2,146,60,53,6.2,8.1
Wheat,Sandy Loam,0.48,26.4,107,69,77,16.9,7.38
Wheat,Clay Loam,0.39,33.8,139,46,59,23.5,7.53
Alfalfa,Clay Loam,0.83,44.9,21,79,96,21.6,6.76
Wheat,Sandy Loam,0.51,37.8,104,51,78,7.4,7.09
Wheat,Sandy Loam,0.67,19.1,119,68,53,22.8,8.05
Maize,Clay Loam,0.61,53.4,167,68,87,4.1,9.24
Wheat,Silt Loam,0.59,40.8,128,41,66,13.5,7.84
Wheat,Clay Loam,0.67,29.1,159,69,84,3.8,8.19
Maize,Silt Loam,0.6,29.4,138,69,101,14.8,7.69
Maize,Silt Loam,0.49,15.1,159,78,65,4.8,7.54
Alfalfa,Silt Loam,0.52,37.5,24,83,119,21.6,5.66
Maize,Silt Loam,0.47,54.5,141,70,96,23.9,8.2
Cotton,Silt Loam,0.72,24.4,127,61,98,10.5,5.02
Alfalfa,Silt Loam,0.54,43.6,32,86,104,10.4,5.48
Wheat,Sandy Loam,0.56,16.6,129,64,73,24.2,7.83
Maize,Silt Loam,0.68,53.9,190,56,86,21.1,9.5
Alfalfa,Sandy Loam,0.55,41.6,38,78,139,20.6,5.54
Wheat,Sandy Loam,0.84,40.7,153,54,55,12.6,9.08
Wheat,Sandy Loam,0.48,28.2,120,56,85,12.9,7.62
Alfalfa,Clay Loam,0.42,31.2,45,61,114,4.4,4.81
Cotton,Sandy Loam,0.56,30.3,128,40,116,4.3,5.57
Wheat,Clay Loam,0.72,48.3,146,56,61,19.3,8.87
Alfalfa,Silt Loam,0.37,36.5,21,67,103,23.2,5.04
Wheat,Silt Loam,0.39,53.0,101,44,81,15.9,7.51
Wheat,Silt Loam,0.4,15.6,121,62,85,5.9,7.03
Alfalfa,Sandy Loam,0.83,18.2,44,89,96,14.3,6.5
Alfalfa,Silt Loam,0.74,47.8,45,81,127,24.2,6.31
Maize,Silt Loam,0.6,44.3,160,57,85,6.6,8.99
Wheat,Silt Loam,0.54,45.1,122,68,52,10.9,8.33
Alfalfa,Silt Loam,0.63,27.8,35,99,92,11.8,5.76
Maize,Silt Loam,0.39,29.5,126,58,100,6.2,7.03
Maize,Clay Loam,0.55,46.7,173,76,79,9.5,8.82
Maize,Sandy Loam,0.66,24.6,171,54,90,12.7,8.13
Wheat,Silt Loam,0.76,39.1,149,52,66,19.3,9.24
Cotton,Sandy Loam,0.5,17.1,99,50,117,19.7,4.58
Wheat,Sandy Loam,0.64,38.8,106,41,50,19.9,8.07
Cotton,Silt Loam,0.8,31.1,132,44,113,10.9,6.26
Cotton,Sandy Loam,0.75,37.0,129,50,103,8.2,5.94
Cotton,Clay Loam,0.8,23.0,126,40,104,24.8,5.87
Alfalfa,Sandy Loam,0.72,42.7,36,71,94,20.2,5.78
Wheat,Silt Loam,0.67,19.6,135,65,86,20.0,8.61
Cotton,Silt Loam,0.48,30.7,137,50,96,8.4,4.35
Wheat,Silt Loam,0.39,16.8,135,41,86,5.7,7.04
Maize,Clay Loam,0.45,28.0,133,67,93,2.2,6.9
Wheat,Sandy Loam,0.52,20.6,155,45,74,8.2,7.47
Maize,Sandy Loam,0.53,45.9,121,56,91,16.3,7.52
Alfalfa,Sandy Loam,0.37,34.8,35,81,138,5.4,5.22
Maize,Clay Loam,0.67,21.4,151,73,101,24.6,7.87
Alfalfa,Clay Loam,0.41,33.9,24,70,131,7.6,5.11
Alfalfa,Silt Loam,0.63,20.6,40,91,135,10.9,5.18
Cotton,Sandy Loam,0.79,44.2,127,53,81,9.3,5.93
Wheat,Clay Loam,0.84,26.2,141,56,75,23.2,8.24
Alfalfa,Sandy Loam,0.83,34.5,43,77,101,17.5,6.02
Wheat,Silt Loam,0.46,19.3,135,62,71,5.2,7.22
Alfalfa,Clay Loam,0.61,31.7,27,69,90,20.3,5.34
Wheat,Clay Loam,0.55,17.6,159,58,58,10.9,7.56
Cotton,Silt Loam,0.56,15.8,104,45,89,24.7,4.36
Cotton,Sandy Loam,0.79,35.9,117,42,81,5.1,5.7
Wheat,Sandy Loam,0.65,50.7,133,57,82,18.1,8.91
Wheat,Silt Loam,0.53,32.1,156,47,87,20.6,7.87
Alfalfa,Clay Loam,0.65,34.2,36,91,135,23.5,5.38
Wheat,Silt Loam,0.65,38.3,111,47,65,14.1,7.99
Wheat,Sandy Loam,0.66,31.3,134,56,74,12.2,8.3
Maize,Sandy Loam,0.63,38.8,153,56,106,11.4,8.48
Alfalfa,Sandy Loam,0.83,51.3,28,76,138,20.2,6.69
Maize,Clay Loam,0.6,42.8,134,54,75,23.9,7.97
Maize,Silt Loam,0.39,34.6,124,82,86,16.3,6.96
Wheat,Clay Loam,0.56,19.3,112,49,60,11.0,7.19
Cotton,Sandy Loam,0.83,40.6,94,53,103,16.2,5.96
Alfalfa,Silt Loam,0.37,47.3,23,78,113,17.6,5.2
Cotton,Silt Loam,0.58,46.5,99,57,103,2.6,5.65
Wheat,Sandy Loam,0.63,24.4,115,60,64,21.4,7.59
Cotton,Silt Loam,0.63,29.5,102,56,92,16.8,4.92
Maize,Clay Loam,0.65,48.6,187,65,96,2.7,9.18
Alfalfa,Silt Loam,0.68,20.0,45,71,122,13.7,5.43
Alfalfa,Silt Loam,0.56,32.8,27,62,138,3.0,5.07
Alfalfa,Silt Loam,0.77,24.5,39,77,102,7.1,5.72
Maize,Sandy Loam,0.82,54.6,144,79,79,13.1,9.47
Wheat,Sandy Loam,0.65,28.2,115,57,68,13.7,7.98
Cotton,Sandy Loam,0.44,34.5,127,44,106,20.9,4.83
Wheat,Sandy Loam,0.42,16.8,126,55,79,22.2,6.98
Alfalfa,Silt Loam,0.5,24.5,37,92,122,15.1,5.22
Maize,Sandy Loam,0.55,16.7,142,74,60,6.6,7.34
Maize,Silt Loam,0.78,36.5,194,62,84,22.2,9.11
Wheat,Clay Loam,0.71,19.6,127,60,79,15.1,8.24
Alfalfa,Silt Loam,0.46,34.4,20,70,134,24.1,4.85
Maize,Silt Loam,0.83,21.3,159,77,72,21.6,9.12
Maize,Clay Loam,0.36,50.1,145,81,98,20.6,7.73
Cotton,Silt Loam,0.43,35.6,95,46,110,5.6,5.08
Alfalfa,Silt Loam,0.72,15.6,41,74,96,22.2,5.48
Maize,Sandy Loam,0.49,29.1,144,80,70,9.9,7.65
Cotton,Sandy Loam,0.4,20.5,139,46,116,20.2,4.59
Cotton,Sandy Loam,0.42,36.7,90,60,112,16.1,5.05
Alfalfa,Sandy Loam,0.59,41.3,41,67,125,12.0,5.65
Wheat,Sandy Loam,0.68,48.8,127,61,56,10.2,9.09
Maize,Clay Loam,0.41,29.8,179,54,64,19.0,7.21
Wheat,Clay Loam,0.55,29.8,158,55,85,16.4,7.6
Maize,Clay Loam,0.76,29.0,138,55,63,15.7,8.39
Alfalfa,Clay Loam,0.7,48.1,34,80,106,8.6,6.53
Alfalfa,Silt Loam,0.48,38.2,44,91,90,9.8,5.75
Cotton,Silt Loam,0.44,23.9,103,46,85,13.2,4.49
Wheat,Sandy Loam,0.41,22.0,144,60,83,5.8,7.35
Alfalfa,Sandy Loam,0.67,19.9,36,99,137,13.3,5.19
Maize,Sandy Loam,0.43,41.9,168,73,73,20.6,8.18
Cotton,Clay Loam,0.59,40.1,119,48,96,21.5,5.0
Alfalfa,Clay Loam,0.68,37.1,36,92,125,8.3,5.87
Wheat,Silt Loam,0.44,15.4,131,50,87,12.8,6.98
Cotton,Silt Loam,0.63,23.8,101,57,108,6.7,5.08
Cotton,Clay Loam,0.53,48.7,111,46,89,19.2,4.99
Wheat,Sandy Loam,0.43,34.9,149,54,72,4.1,7.45
Wheat,Silt Loam,0.7,50.5,120,42,54,15.2,8.55
Cotton,Clay Loam,0.55,34.1,133,45,106,4.4,4.83
Wheat,Clay Loam,0.43,46.3,153,56,65,19.5,7.93
Cotton,Sandy Loam,0.81,46.0,98,63,107,9.5,6.24
Wheat,Silt Loam,0.69,19.2,151,54,59,22.1,8.28
Alfalfa,Sandy Loam,0.66,43.7,41,93,110,22.3,6.05
Maize,Sandy Loam,0.64,33.5,190,62,104,5.9,8.68
Cotton,Silt Loam,0.37,26.0,139,50,111,18.0,4.6
Wheat,Silt Loam,0.53,46.3,122,54,50,5.8,8.3
Wheat,Sandy Loam,0.73,35.7,118,53,57,15.2,8.55
Cotton,Silt Loam,0.71,44.5,106,49,84,4.4,5.57
Alfalfa,Sandy Loam,0.73,50.6,42,76,102,18.5,5.85
Cotton,Clay Loam,0.62,17.7,98,56,100,10.5,4.72
Alfalfa,Clay Loam,0.39,53.4,26,95,133,7.7,5.61
Cotton,Sandy Loam,0.39,25.5,117,60,89,23.9,4.23
Alfalfa,Silt Loam,0.67,17.6,24,75,112,18.9,5.37
Alfalfa,Clay Loam,0.44,16.8,38,98,114,3.9,4.66
Cotton,Silt Loam,0.43,21.8,94,51,112,2.1,5.04
Alfalfa,Silt Loam,0.73,44.0,21,71,113,17.9,6.12
Cotton,Clay Loam,0.35,37.2,122,47,92,23.5,4.43
Alfalfa,Sandy Loam,0.6,40.2,48,89,138,13.6,5.7
Wheat,Sandy Loam,0.84,26.8,124,66,73,22.6,9.05
Wheat,Clay Loam,0.7,50.5,125,61,55,12.4,8.59
Alfalfa,Silt Loam,0.66,41.7,21,79,111,8.1,6.17
Cotton,Clay Loam,0.63,23.1,119,51,98,20.3,4.99
Cotton,Clay Loam,0.77,42.0,104,59,99,21.5,6.04
Alfalfa,Silt Loam,0.72,17.4,27,88,99,6.8,5.67
Wheat,Silt Loam,0.47,22.7,155,51,70,7.1,7.65
Alfalfa,Silt Loam,0.73,54.1,39,79,92,18.1,6.56
Maize,Clay Loam,0.38,48.8,156,51,86,16.0,7.4
Wheat,Silt Loam,0.69,51.5,102,47,52,21.0,8.39
Wheat,Silt Loam,0.54,19.4,155,55,62,24.3,7.44
Cotton,Clay Loam,0.51,34.7,139,54,115,6.6,4.52
Alfalfa,Clay Loam,0.54,39.9,27,60,108,4.6,5.6
Alfalfa,Sandy Loam,0.78,48.0,43,80,130,3.8,6.34
Cotton,Sandy Loam,0.84,31.3,96,57,99,13.9,5.87
Wheat,Silt Loam,0.72,24.5,107,46,89,12.0,8.35
Cotton,Sandy Loam,0.8,28.7,93,44,100,9.1,6.21
Wheat,Sandy Loam,0.42,15.7,104,62,87,12.3,6.73
Alfalfa,Clay Loam,0.57,43.6,45,72,133,2.3,5.96
Wheat,Sandy Loam,0.37,42.0,138,59,62,16.7,7.45
Cotton,Clay Loam,0.45,26.7,138,54,115,18.0,5.0
Cotton,Sandy Loam,0.76,46.8,127,40,97,18.8,6.45
Cotton,Sandy Loam,0.38,31.1,116,55,100,24.7,5.0
Wheat,Clay Loam,0.47,38.0,124,62,62,14.9,7.48
Alfalfa,Sandy Loam,0.57,50.6,45,97,126,16.3,5.81
Wheat,Clay Loam,0.53,22.8,111,64,85,10.4,7.28
Maize,Sandy Loam,0.64,42.5,189,56,80,9.5,8.57
Cotton,Clay Loam,0.4,31.0,102,57,108,6.8,5.11
Alfalfa,Clay Loam,0.74,24.1,41,95,119,6.4,5.82
Cotton,Clay Loam,0.79,29.1,118,48,110,24.9,5.68
Alfalfa,Clay Loam,0.4,26.6,38,67,101,17.2,4.55
Wheat,Silt Loam,0.69,33.5,149,61,75,21.1,8.36
Cotton,Clay Loam,0.71,37.4,113,64,110,24.8,5.76
Alfalfa,Sandy Loam,0.39,40.7,48,65,94,5.6,5.11
Maize,Sandy Loam,0.46,17.4,154,68,102,14.5,7.21
Maize,Clay Loam,0.63,16.9,141,53,76,24.4,7.41
Wheat,Clay Loam,0.42,28.7,155,69,56,13.7,7.59
Maize,Sandy Loam,0.62,29.1,144,51,69,7.6,8.58
Maize,Sandy Loam,0.61,44.6,169,66,70,8.9,8.46
Cotton,Clay Loam,0.38,55.0,115,45,114,18.0,5.41
Wheat,Sandy Loam,0.74,24.6,158,54,55,7.9,8.36
Cotton,Clay Loam,0.68,29.7,127,63,96,14.6,5.28
Alfalfa,Clay Loam,0.83,45.7,38,61,118,6.8,6.07
Alfalfa,Clay Loam,0.73,35.2,33,84,132,21.7,6.56
Cotton,Sandy Loam,0.48,25.7,134,46,105,22.4,4.84
Alfalfa,Clay Loam,0.6,21.2,48,99,126,4.9,5.31
Alfalfa,Clay Loam,0.4,27.9,33,70,114,5.9,4.51
Alfalfa,Clay Loam,0.71,40.4,28,62,136,23.8,5.88
Cotton,Sandy Loam,0.46,44.3,96,51,117,13.9,5.4
Wheat,Sandy Loam,0.73,36.0,136,62,67,2.3,8.84
Wheat,Clay Loam,0.62,42.8,121,58,50,3.9,8.61
Maize,Sandy Loam,0.54,41.2,163,76,83,5.8,8.17
Cotton,Silt Loam,0.5,29.9,91,43,106,3.9,5.11
Maize,Sandy Loam,0.73,43.3,143,61,106,16.2,8.87
Cotton,Silt Loam,0.8,32.4,106,48,100,4.2,6.07
Cotton,Sandy Loam,0.74,32.0,119,41,90,5.5,5.06
Alfalfa,Silt Loam,0.6,27.7,21,97,95,22.6,6.08
Maize,Sandy Loam,0.39,53.0,194,59,87,18.2,8.27
Cotton,Clay Loam,0.42,30.0,107,48,83,20.6,4.35
Wheat,Sandy Loam,0.81,39.0,103,41,56,16.6,8.53
Alfalfa,Clay Loam,0.63,25.5,36,95,108,16.0,5.88
Maize,Sandy Loam,0.76,27.0,165,61,104,4.9,9.04
Cotton,Sandy Loam,0.6,40.9,94,57,119,13.9,5.77
Alfalfa,Clay Loam,0.72,31.2,36,79,103,16.4,5.58
Maize,Clay Loam,0.69,24.5,166,53,79,13.5,8.87
Maize,Clay Loam,0.52,17.8,155,76,79,9.6,7.31
Wheat,Clay Loam,0.76,41.3,132,63,52,20.7,8.85
Maize,Clay Loam,0.58,28.2,174,61,75,18.4,8.17
Alfalfa,Sandy Loam,0.51,51.1,43,93,138,7.4,5.91
Maize,Clay Loam,0.38,50.3,122,79,105,21.6,7.41
Maize,Silt Loam,0.81,37.3,176,80,102,8.1,9.18
Wheat,Clay Loam,0.76,48.4,144,47,83,10.3,9.13
Alfalfa,Silt Loam,0.42,28.2,32,81,117,5.1,5.17
Wheat,Clay Loam,0.42,27.6,133,56,70,9.4,7.71
Cotton,Sandy Loam,0.59,25.7,101,50,116,10.8,5.05
Cotton,Clay Loam,0.75,44.5,114,51,114,23.3,5.93
Cotton,Clay Loam,0.42,28.3,135,43,96,15.4,4.9
Wheat,Silt Loam,0.44,52.2,150,50,83,14.2,7.62
Alfalfa,Silt Loam,0.49,25.2,40,95,116,12.7,5.2
Maize,Silt Loam,0.7,16.8,176,61,62,13.1,8.41
Wheat,Clay Loam,0.75,21.1,109,62,87,10.4,8.32
Maize,Silt Loam,0.63,40.1,197,80,73,13.1,8.89
Maize,Sandy Loam,0.75,34.5,155,61,109,10.8,9.05
Alfalfa,Silt Loam,0.7,28.4,48,62,118,8.0,5.02
Alfalfa,Silt Loam,0.57,39.8,32,74,137,2.6,5.81
Maize,Sandy Loam,0.61,19.9,167,59,76,14.4,8.08
Maize,Silt Loam,0.74,49.4,151,61,102,22.5,9.3
Maize,Silt Loam,0.83,52.9,164,70,60,17.7,10.2
Maize,Silt Loam,0.66,18.7,180,50,82,4.6,8.32
Alfalfa,Silt Loam,0.69,35.6,20,95,133,12.7,5.5
Alfalfa,Silt Loam,0.72,29.4,41,87,122,21.5,5.81
Alfalfa,Clay Loam,0.8,17.9,38,93,110,21.2,5.71
Cotton,Clay Loam,0.39,43.5,110,53,89,14.3,5.2
Cotton,Sandy Loam,0.74,44.9,91,56,85,15.3,5.6
Wheat,Clay Loam,0.4,23.8,138,69,85,13.6,7.02
Wheat,Sandy Loam,0.52,53.1,153,62,54,3.6,8.8
Wheat,Sandy Loam,0.6,28.2,119,67,70,17.2,8.13
Maize,Clay Loam,0.69,33.6,163,50,109,4.8,8.87
Alfalfa,Sandy Loam,0.42,45.9,37,82,136,7.0,5.72
Wheat,Clay Loam,0.51,25.7,124,45,66,23.8,7.76
Alfalfa,Clay Loam,0.77,38.8,24,63,132,20.0,6.19
Cotton,Silt Loam,0.74,47.2,128,60,90,20.9,5.69
Alfalfa,Silt Loam,0.79,41.0,20,71,124,5.3,6.05
Cotton,Silt Loam,0.4,36.7,109,47,97,4.0,4.54
